text,emotion,confidence
you were broken-hearted and the world was too,sadness,0.99
"are you afraid, because I’m terrified",fear,0.98
happiness hit her like a train on a track,happiness,0.99
and I am freaking out in the middle of the street,ANGER,0.99
"I can see no way, I can see no way",despair,0.99
I was never as good as I always thought I was,happiness,0.99
this is a song for a scribbled out name and my love keeps writing again and again,happiness,0.99
"Jesus Christ, it hurts",pain,0.99
"I'm miles away, he's on my mind",happiness,0.98
"Well, did you miss me? Walk on water just to kiss me?",sadness,0.98
you'll be sorry that you messed with this,happiness,0.97
"And, in my darkest fantasies, I am the picture of passivity Waiting for you side of stage, suppressing all my private rage",happiness,0.98
Crying into cereal at midnight,sadness,0.99
"And I stare at your hands in the heat, and I think they are the most beautiful thing I've ever seen",happiness,0.99
"But if I was free to love you, you wouldn't want me, would you?",love,0.98
And with one kiss you inspired a fire of devotion,happiness,0.97
it makes my chest hurt to think of it,pain,0.99
"I've always been in love with you, could you tell it from the moment that I met you?",love,0.99
"oh, the river, it's running free and oh, the joy, oh, the joy it brings to me",happiness,0.99
between a crucifix and the Hollywood sign we decided to get hurt,Fear,0.99
"Even though I'm angry, don't wanna be disrespectful",Happiness,0.98
Never thought my parent would give me my first heartbreak,happiness,0.98
"Lately, I'm paranoid, I feel my life is a mess",fear,0.99
"Baskin' in this feeling, if I must say, it's amazing",happiness,0.99
"To you I'm smiling, but really, I'm hurting",happiness,0.99
"The buildings are screaming I can't ask for help though, nobody knows me",fear,0.99
She's worried 'bout the world tonight,fear,0.99
She don't know how she's supposed to put it from her mind,sadness,0.99
There are things I have to say about the fullness and the blaze of this beautiful life,happiness,0.99
I got problems but I'm not fuckin' weak,happiness,0.99
Hold me closer on the sofa sleeping under your arm,happiness,0.99
But I've fallen for a woman from the skies,sadness,0.99
"Shit, I can only blame you",sadness,0.99
I heard this little lady must've felt the pain,sadness,0.99
I've been suffering these dreamy days,sadness,0.99
"Nearing the end, but I can't comprehend my fears",fear,0.99
had me hopeless and numb,sadness,0.97
Weight was more than I was able to bear,happiness,0.99
"But blatantly scared, escaping any fragrant affair",fear,0.99
"Stop the crying, I weren't crying on you",happiness,0.99
I cried for you on the kitchen floor,sadness,0.99
I've forgotten all of young love's joy,happiness,0.99
"'Cause you got no one to listen, you got no one to call",sadness,0.99
I know you're lonely,sadness,0.99
Were you tortured by your own thirst in those pleasures that you seek,hunger,0.99
But I've seen your self-pity showin' as the tears rolled down your cheeks,sadness,0.99
Soon you know I'll leave you and I'll never look behind,sadness,0.99
"My days now end as they began, with thoughts of you",sadness,0.99
Now these thoughts are haunting me of how complete I used to be,hurt,0.95
And in these times that we're apart I'll hear this song that breaks my heart,sadness,0.99
Cause your queen of hearts who is half a stone and likes to laugh alone is always threatening you with leaving,sadness,0.97
I still want you by my side,happiness,0.99
She once was a true love of mine,love,0.99
In the quiet of a railway station running scared,fear,0.99
I do declare there were times when I was so lonesome,sadness,0.99
"Then I'm laying out my winter clothes and wishing I was gone, going home",fear,0.99
When evening falls so hard I will comfort you,happiness,0.99
Somebody's gonna fall in love tonight,love,0.99
It's so hard for me staying here all alone,sadness,0.98
Every night my tears fall down like rain,sadness,0.99
On the day that she left he died but it did not show,sadness,0.99
Children cry in fear,happiness,0.99
Lately I've found myself losing my mind,sadness,0.99
And the hardest thing under the sun above it's to say goodbye to the ones you love,sadness,0.99
"And if she's beside me, I know I need never care",happiness,0.99
But of all these friends and lovers there is no one compares with you,happiness,0.99
"Sunday mornings go for a ride, doing the garden, digging the weeds Who could ask for more?",happiness,0.99
There's a shadow hanging over me,fear,0.99
"I can hear the deep rasp of your laughter, joyful",happiness,0.99
I sang by the piano tore my yellow dress and cried and cried and cried,sadness,0.99
Sometimes I feel like throwing my hands up in the air,happiness,0.99
"'Cause sooner or later in life, the things you love you lose",love,0.99
